artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Ed Sheeran,Sofa,2Z7RLfJdXXkXUmvMJxkNJo,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,30,False,0.646,0.65,D,-6.491,Major,0.0278,0.14,9.65e-06,0.0999,0.52,100.05,4,[],Compilation Album,03:19,2014,June,Friday
Ed Sheeran,Bad Habits,5jRvUR9rwKALlZQ1EzGjBI,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,29,False,0.807,0.893,B,-3.745,Minor,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[],Compilation Album,03:50,2022,May,Friday
Ed Sheeran,Put It All on Me (feat. Ella Mai),2xOjYQuhFCeqxdUsf74gSp,Put It All on Me (feat. Ella Mai),4es0SCGoooYKR36713JWNz,2019-07-11,30,False,0.627,0.594,G,-8.306,Major,0.0478,0.253,0.0,0.373,0.389,101.008,4,['Ella Mai'],Single,03:17,2019,July,Thursday
Ed Sheeran,Magical,3DFz7ltSLaohq7oVfNgaE5,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,29,False,0.658,0.632,G#/Ab,-8.492,Major,0.0298,0.748,7.33e-05,0.169,0.464,135.924,4,[],Studio Album,03:14,2023,September,Friday
Ed Sheeran,Little Bird,7sGK98k8lv3hzRznoN909t,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,33,False,0.826,0.485,G#/Ab,-7.424,Major,0.0354,0.569,0.0,0.107,0.278,104.011,4,[],Extended Play,03:46,2011,December,Friday
Ed Sheeran,Put It All on Me (feat. Ella Mai),2neYa7NyqIuPR67tehREKZ,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,31,False,0.627,0.594,G,-8.306,Major,0.0479,0.256,0.0,0.373,0.388,101.007,4,['Ella Mai'],Studio Album,03:17,2019,July,Friday
Ed Sheeran,Sofa,5VAd82Nigp6Qdbl2zln1cl,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,33,False,0.646,0.65,D,-6.491,Major,0.0278,0.14,9.65e-06,0.0999,0.52,100.05,4,[],Extended Play,03:19,2011,December,Friday
Ed Sheeran,The City,4oCmusomhJaDXUF9OttwQ5,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,30,False,0.689,0.369,G#/Ab,-7.183,Major,0.357,0.74,0.0,0.122,0.701,102.565,4,[],Compilation Album,04:26,2014,June,Friday
Ed Sheeran,2step,0Kyf0mywQUx3aqtYVtiR6U,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,28,False,0.763,0.661,E,-5.592,Minor,0.056,0.169,0.0,0.117,0.632,95.002,4,[],Compilation Album,02:33,2022,May,Friday
Ed Sheeran,Overpass Graffiti,0FRBToHz6nkJTk2MqVAnX9,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,29,False,0.52,0.849,A,-3.794,Minor,0.186,0.00253,0.0,0.119,0.774,175.908,4,[],Compilation Album,03:56,2022,May,Friday
Ed Sheeran,Shivers (feat. FEDUK & SLAVA MARLOW),64MeGCH5YppnMj0iNyaXvY,Shivers (feat. FEDUK & SLAVA MARLOW),6LRQlyFOrfJoUxJH1oE0kn,2021-12-01,38,False,0.793,0.553,D,-8.371,Major,0.101,0.0382,0.0,0.0645,0.412,140.954,4,"['FEDUK', 'SLAVA MARLOW']",Single,02:46,2021,December,Wednesday
Ed Sheeran,Plastic Bag,0ulYOiCpVQYmYeFMViHPai,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,28,False,0.714,0.728,G,-6.552,Major,0.0528,0.62,0.0,0.0752,0.387,120.032,4,[],Studio Album,03:49,2023,September,Friday
Ed Sheeran,Little Lady (feat. Mikill Pane),5rKb6l02IplvF9I0sJI9Lj,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,36,False,0.437,0.5,A,-7.103,Major,0.105,0.731,0.0,0.157,0.437,85.293,4,['Mikill Pane'],Extended Play,05:28,2011,September,Friday
Ed Sheeran,Amazing,7ufmRzRlhMPwKo0mm0qEd4,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,27,False,0.809,0.664,C,-7.265,Major,0.0373,0.429,1.55e-06,0.131,0.374,116.996,4,[],Studio Album,04:05,2023,September,Friday
Ed Sheeran,Punchline,5IUq1DyjOjej1u3U9gWaUa,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,33,False,0.534,0.407,B,-7.994,Major,0.0261,0.844,0.0,0.113,0.616,154.059,4,[],Studio Album,03:26,2023,September,Friday
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),71BgDMZ6FbL5AKcERaxJ6n,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,29,False,0.857,0.621,A,-6.376,Minor,0.0825,0.148,0.0,0.0865,0.668,97.989,4,"['Camila Cabello', 'Cardi B']",Studio Album,03:24,2019,July,Friday
Ed Sheeran,That’s On Me,0OyeNV6VDZ8RSrfZVrSvM2,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,27,False,0.82,0.693,G,-6.279,Major,0.108,0.63,0.0,0.0624,0.587,107.002,4,[],Studio Album,03:47,2023,September,Friday
Ed Sheeran,Beautiful People (feat. Khalid),3aCjJgEAW018s9BuGiAgob,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,28,False,0.64,0.647,F,-8.114,Minor,0.186,0.124,0.0,0.0801,0.546,92.979,4,['Khalid'],Studio Album,03:17,2019,July,Friday
Ed Sheeran,Tides,2034O98KseYfXW4eETgm9h,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.631,0.825,B,-3.971,Major,0.0433,0.0167,0.0,0.122,0.427,129.942,3,[],Compilation Album,03:15,2022,May,Friday
Ed Sheeran,First Times,6ih77QgShm0RSp913VkGZn,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.587,0.267,G#/Ab,-9.206,Major,0.0349,0.84,0.0,0.121,0.352,98.845,4,[],Compilation Album,03:05,2022,May,Friday
Ed Sheeran,Small Bump - Live at Wembley Stadium,4B1EYMTYNUfwRoD9MARPgT,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2015-11-13,20,False,0.69,0.696,A,-7.432,Major,0.183,0.219,0.0,0.958,0.237,125.735,4,[],Live Album,05:02,2015,November,Friday
Ed Sheeran,2step (feat. Armaan Malik),1vf09n9QoDVWhBImRgQQyG,2step (feat. Armaan Malik),6Ez4Ul37Uzz9yGcorzhGMV,2022-05-23,38,False,0.747,0.667,E,-5.181,Minor,0.0566,0.18,0.0,0.146,0.508,95.0,4,['Armaan Malik'],Single,02:33,2022,May,Monday
Ed Sheeran,Collide,362gtoLRmu1RfqolIFxXcL,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,26,False,0.672,0.73,F,-4.77,Major,0.0372,0.113,0.0,0.0612,0.559,123.969,4,[],Compilation Album,03:30,2022,May,Friday
Ed Sheeran,Blue,3VgD05XlPGjCvd4ZLGGk1D,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,26,False,0.668,0.314,A,-8.275,Minor,0.0298,0.888,0.0,0.222,0.414,78.019,1,[],Studio Album,02:33,2023,September,Friday
Ed Sheeran,England,37b4ATsKqGuDmvhj1stfwN,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,25,False,0.622,0.666,F,-10.786,Major,0.0423,0.641,8.63e-05,0.513,0.52,126.934,4,[],Studio Album,03:46,2023,September,Friday
Ed Sheeran,Visiting Hours,446RPBrDh8kVcYfDdnNFmp,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.471,0.396,G#/Ab,-6.654,Major,0.0336,0.77,0.0,0.0729,0.263,149.609,4,[],Compilation Album,03:35,2022,May,Friday
Ed Sheeran,Page,4IBum9ndT8WeIhwALJJqVP,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,25,False,0.774,0.604,D,-6.385,Major,0.0404,0.623,3.48e-06,0.0889,0.62,146.081,4,[],Studio Album,03:51,2023,September,Friday
Ed Sheeran,"You Need Me, I Don't Need You - Live and in Session",3cvGbWQhQ73AZjz1XOoOFA,Live and in Session,358s1FksXk3qh38nNdjJFk,2014-08-11,32,False,0.5,0.847,E,-4.969,Minor,0.151,0.105,0.0,0.249,0.848,109.525,4,[],Extended Play,09:43,2014,August,Monday
Ed Sheeran,Midnight,2hhhLOK7PL8X9GlQ5uEeH6,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,24,False,0.555,0.824,A#/Bb,-5.843,Major,0.0591,0.425,7.78e-05,0.082,0.685,178.034,4,[],Studio Album,02:59,2023,September,Friday
Ed Sheeran,Spring,6JlZ0PMPyLuHn2gGtrahre,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,25,False,0.644,0.317,F,-11.565,Major,0.0317,0.923,0.00159,0.104,0.667,96.081,4,[],Studio Album,02:58,2023,September,Friday
Ed Sheeran,Love In Slow Motion,1ZNI4Ab5Ojwha9OCmtqE6n,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,25,False,0.485,0.54,C#/Db,-5.4,Major,0.0253,0.668,0.0,0.0849,0.426,62.631,4,[],Compilation Album,03:10,2022,May,Friday
Ed Sheeran,The A Team - Live and in Session,41Fa4odUQJYZNEccDd0y4q,Live and in Session,358s1FksXk3qh38nNdjJFk,2014-08-11,33,False,0.55,0.416,A,-6.737,Major,0.0724,0.387,0.0,0.542,0.463,112.411,4,[],Extended Play,04:08,2014,August,Monday
Ed Sheeran,One - Live and in Session,2MJ2fb4rCmdVZ9lUtUMNjF,Live and in Session,358s1FksXk3qh38nNdjJFk,2014-08-11,34,False,0.464,0.33,E,-7.027,Major,0.035,0.761,0.0,0.72,0.368,106.04,4,[],Extended Play,03:45,2014,August,Monday
Ed Sheeran,Lego House - Spotify Sessions,1u3FMEh3u14smbxY1XZc4S,Spotify Session,3Zao4egmTSVP5LfAhHO4o1,2011-01-01,31,False,0.55,0.196,B,-16.253,Major,0.355,0.766,0.0,0.191,0.492,162.481,4,[],Extended Play,03:41,2011,January,Saturday
Ed Sheeran,Stop The Rain,781z6KOhWIytOCGXsWoL0H,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,25,False,0.686,0.765,G#/Ab,-4.778,Major,0.118,0.0122,0.0,0.127,0.743,99.998,4,[],Compilation Album,03:23,2022,May,Friday
Ed Sheeran,2step (feat. Lil Baby),3vRMNhtsTzM25UbTeuKGrx,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,24,False,0.693,0.643,E,-5.867,Minor,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],Compilation Album,02:43,2022,May,Friday
Ed Sheeran,You Don't Know - For Fucks Sake,5wDo8f5JkiLu98wa38chVT,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,19,True,0.835,0.532,G,-8.891,Major,0.292,0.329,2.32e-05,0.364,0.562,99.995,4,['Yelawolf'],Extended Play,03:33,2011,September,Friday
Ed Sheeran,Way To Break My Heart (feat. Skrillex),3ScM8IvndjLcJ9VyAc4EnS,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,28,False,0.726,0.731,C#/Db,-6.298,Minor,0.159,0.11,3.45e-06,0.0928,0.437,170.125,4,['Skrillex'],Studio Album,03:10,2019,July,Friday
Ed Sheeran,2step (feat. Ultimo),7mxEWcW3A0jULs64ckyq9k,2step (feat. Ultimo),3TDdlYSrE5WuOTiuyr9tTl,2022-05-06,40,False,0.727,0.69,E,-5.063,Minor,0.0721,0.16,0.0,0.137,0.685,94.935,4,['Ultimo'],Single,02:34,2022,May,Friday
Ed Sheeran,2step (feat. Lil Baby),5PF6tRnQJWyAlZTCgDa4wQ,2step (The Remixes),1nqJFaKVTrCkCDaC2I1zM7,2022-05-26,26,False,0.693,0.643,E,-5.867,Minor,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],Remix Album,02:43,2022,May,Thursday
Ed Sheeran,The Joker And The Queen,49fcoVTl7mQtaGrOu5eWWf,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,25,False,0.567,0.211,C,-9.975,Major,0.0315,0.952,5.24e-05,0.275,0.289,134.019,4,[],Compilation Album,03:05,2022,May,Friday
Ed Sheeran,The Day I Was Born,7m3PIHAmlO5ls5ZLbPcfZD,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,26,False,0.603,0.668,C,-5.503,Major,0.044,0.655,0.0,0.327,0.721,135.135,4,[],Studio Album,04:12,2023,September,Friday
Ed Sheeran,"You Need Me, I Don't Need You - Live at the Bedford",2GGOQWJo7FGEQojc7baekK,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,26,False,0.506,0.911,C,-4.779,Major,0.23,0.48,0.0,0.696,0.781,105.475,4,[],Compilation Album,09:50,2014,June,Friday
Ed Sheeran,Head > Heels,4K7BmhE2LEYLEjLwwAlR7B,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,24,False,0.711,0.328,C,-9.172,Major,0.0592,0.759,0.000538,0.116,0.347,77.539,4,[],Studio Album,04:13,2023,September,Friday
Ed Sheeran,2step (feat. Quevedo),2lBC947shOYlBn1UtMoJlg,2step (feat. Quevedo),4uXdvX6Kma8gK1k88Ndvsb,2022-05-23,41,False,0.72,0.709,E,-5.308,Minor,0.0827,0.171,0.0,0.141,0.537,94.99,4,['Quevedo'],Single,02:33,2022,May,Monday
Ed Sheeran,When Will I Be Alright,7a6OTDsR2xxzvdoyqWaHVd,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,24,False,0.614,0.244,D,-9.345,Major,0.0301,0.935,5.64e-05,0.112,0.488,126.381,4,[],Studio Album,02:55,2023,September,Friday
Ed Sheeran,Drunk,51Be0m3caz9EourH3LIHvY,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,36,False,0.733,0.652,G,-9.101,Major,0.0696,0.419,2.37e-06,0.521,0.459,99.998,4,[],Studio Album,03:20,2011,September,Friday
Ed Sheeran,Leave Your Life,1REhY89NpcXlSsA5OR09pV,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,25,False,0.578,0.558,D,-5.438,Major,0.0872,0.236,0.0,0.143,0.54,75.087,4,[],Compilation Album,03:43,2022,May,Friday
Ed Sheeran,Lately (feat. Devlin),1iyJwocwqUMwLgmu9O5Y13,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,31,False,0.718,0.82,E,-5.552,Minor,0.103,0.0928,0.0,0.391,0.329,90.013,4,['Devlin'],Extended Play,04:31,2011,September,Friday
Ed Sheeran,I Don't Care (with Justin Bieber),1Tu5fpEjGl78R4mA6pQ7Tk,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,26,False,0.798,0.676,F#/Gb,-5.041,Major,0.0442,0.0902,0.0,0.0894,0.843,101.956,4,['Justin Bieber'],Studio Album,03:39,2019,July,Friday
Ed Sheeran,Wake Me Up - Live at the Bedford,2c3PILT3ocB6B47pNzi9qs,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,26,False,0.616,0.141,A,-17.161,Major,0.532,0.792,0.0,0.897,0.361,107.874,4,[],Compilation Album,05:00,2014,June,Friday
Ed Sheeran,Radio (feat. JME),5KB7EYQuHd0S5WKVWpagYu,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,31,False,0.693,0.833,F#/Gb,-5.408,Minor,0.263,0.214,0.0,0.117,0.759,99.901,4,['Jme'],Extended Play,03:42,2011,September,Friday
Ed Sheeran,2step (feat. Leto),0rGZhcaioQRufndluiOxdF,2step (feat. Leto),5gtzH1xaYI0w2KWITZaZUH,2022-05-13,29,False,0.73,0.701,G,-5.318,Major,0.0447,0.273,0.0,0.0657,0.522,94.97,4,['Leto'],Single,02:34,2022,May,Friday
Ed Sheeran,Little Lady (feat. Mikill Pane),7bXTXa2zmMuRZPCBEWcjHw,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,26,False,0.437,0.5,A,-7.103,Major,0.105,0.731,0.0,0.157,0.437,85.293,4,['Mikill Pane'],Compilation Album,05:28,2014,June,Friday
Ed Sheeran,The City - Live at Sticky Studios; Loose Change EP,1Fj5Hfda761tgxKbJUlFxN,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,28,False,0.712,0.569,E,-6.032,Minor,0.204,0.507,0.0,0.412,0.837,105.032,4,[],Extended Play,05:06,2011,December,Friday
Ed Sheeran,The A Team - Live at the Bedford,3nwbntyppUfLEMorPB40HN,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,26,False,0.402,0.339,A,-9.574,Major,0.0498,0.728,0.0,0.833,0.496,83.194,4,[],Compilation Album,05:22,2014,June,Friday
Ed Sheeran,The A Team - Spotify Sessions,6D9w7wnOtoViu0yX6lmCsy,Spotify Session,3Zao4egmTSVP5LfAhHO4o1,2011-01-01,28,False,0.554,0.255,A,-14.852,Major,0.328,0.535,0.0,0.234,0.531,86.053,4,[],Extended Play,03:48,2011,January,Saturday
Ed Sheeran,2step (feat. Antytila),5it0QwktdpQ7oE33PbImkX,2step (feat. Antytila),0cNLR4ksEAAesnSOVzV33s,2022-05-02,34,False,0.506,0.695,E,-5.185,Minor,0.105,0.235,0.0,0.151,0.599,93.75,4,['Antytila'],Single,02:33,2022,May,Monday
Ed Sheeran,The City - Live at Sticky Studios; Loose Change EP,7cCsAsOKvFdOjQHpADku4O,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,25,False,0.712,0.569,E,-6.032,Minor,0.204,0.507,0.0,0.412,0.837,105.032,4,[],Compilation Album,05:06,2014,June,Friday
Ed Sheeran,Sing - Live and in Session,5r6UJphd3l3sVEfeZpEZHy,Live and in Session,358s1FksXk3qh38nNdjJFk,2014-08-11,34,False,0.726,0.719,F#/Gb,-5.122,Minor,0.234,0.137,0.0,0.66,0.826,121.911,4,[],Extended Play,05:19,2014,August,Monday
Ed Sheeran,Take Me Back to London (feat. Stormzy),3ERZA2UXA1cD5WAELjSpa6,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,30,True,0.885,0.762,G#/Ab,-5.513,Minor,0.216,0.219,0.0,0.162,0.605,138.058,4,['Stormzy'],Studio Album,03:09,2019,July,Friday
Ed Sheeran,Fall - Live at the Bedford,1lG7S133U7vKOXy0n8WeEL,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.494,0.0964,E,-16.691,Major,0.0532,0.807,7.13e-05,0.936,0.393,86.676,4,[],Compilation Album,02:31,2014,June,Friday
Ed Sheeran,Firefly - Bravado Dubstep Remix,0dQ5jI1SGoAX2QT6N95tad,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.629,0.663,A,-10.516,Major,0.0283,0.28,0.711,0.0811,0.49,139.982,4,['Bravado'],Compilation Album,04:29,2014,June,Friday
Ed Sheeran,Be Right Now,3hPXXNKlZvD2l4KIgbo65V,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,23,False,0.501,0.684,B,-6.706,Major,0.0566,0.00494,0.000478,0.0524,0.442,131.952,4,[],Compilation Album,03:31,2022,May,Friday
Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),3U0oiHpXqrIS3AsOvkaS08,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,23,False,0.631,0.796,C#/Db,-5.35,Major,0.0401,0.000245,0.0108,0.38,0.596,92.47,4,"['Chris Stapleton', 'Bruno Mars']",Studio Album,03:29,2019,July,Friday
Ed Sheeran,Sandman,2XKGiJ6CtXxlWdBpDiTa7y,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,23,False,0.822,0.3,C,-8.034,Major,0.0673,0.882,9.15e-05,0.0665,0.734,125.951,4,[],Compilation Album,04:19,2022,May,Friday
Ed Sheeran,Lately (feat. Devlin),5cth8vxCckeYgE10nX58re,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.718,0.82,E,-5.552,Minor,0.103,0.0928,0.0,0.391,0.329,90.013,4,['Devlin'],Compilation Album,04:31,2014,June,Friday
Ed Sheeran,You (feat. Wiley),7h7KBBdYIzrxOsLfR9aUO7,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,30,False,0.799,0.532,C#/Db,-9.472,Minor,0.0707,0.386,0.00017,0.0978,0.189,100.032,4,['Wiley'],Extended Play,03:21,2011,September,Friday
Ed Sheeran,You (feat. Wiley),6dSgNLxLDgTaPQlB15yOOK,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.799,0.532,C#/Db,-9.472,Minor,0.0707,0.386,0.00017,0.0978,0.189,100.032,4,['Wiley'],Compilation Album,03:21,2014,June,Friday
Ed Sheeran,Small Bump,2sKgjO8vxk7znTpwNAptaW,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,32,False,0.81,0.436,A#/Bb,-12.683,Major,0.0717,0.689,0.000151,0.11,0.446,119.973,4,[],Studio Album,04:19,2011,September,Friday
Ed Sheeran,Family (feat. P Money),79d2OA4Sj4nfw0vk8EV82D,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,29,False,0.476,0.704,A,-5.411,Minor,0.278,0.515,0.0,0.094,0.297,140.396,4,['P Money'],Extended Play,04:14,2011,September,Friday
